"Month","reporting","0-<3m","3-<6m","6-<9m","9-<12m","12-<24m","24-<60m"
Jan 2019,"MIQR","100.0
(100.0-100)","100.0
( 97.2-100)","100.0
( 94.4-100)","100.0
(100.0-100)","100.0
( 91.7-100)","100.0
(100.0-100)"
Jan 2019,"Range","100.0
( 83.3-100)","100.0
( 71.4-100)","100.0
(  0.0-100)","100.0
( 50.0-100)","100.0
( 25.0-100)","100.0
( 16.7-100)"
Feb 2019,"MIQR","100.0
( 82.7-100)","100.0
( 95.0-100)","100.0
(100.0-100)","100.0
( 91.7-100)","100.0
(100.0-100)","100.0
(100.0-100)"
Feb 2019,"Range","100.0
( 44.4-100)","100.0
( 80.0-100)","100.0
( 45.5-100)","100.0
(  0.0-100)","100.0
( 30.0-100)","100.0
( 11.1-100)"
Mar 2019,"MIQR","100.0
( 85.0-100)","100.0
( 81.2-100)","100.0
( 70.0-100)","100.0
( 77.7-100)","100.0
( 70.0-100)","100.0
( 90.0-100)"
Mar 2019,"Range","100.0
( 47.6-100)","100.0
( 33.3-100)","100.0
( 31.2-100)","100.0
(  0.0-100)","100.0
( 33.3-100)","100.0
(  0.0-100)"
Apr 2019,"MIQR","100.0
( 87.5-100)","100.0
( 66.5-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
( 66.7-100)","100.0
( 41.2-100)"
Apr 2019,"Range","100.0
( 21.3-100)","100.0
( 10.8-100)","100.0
( 41.2-100)","100.0
( 35.7-100)","100.0
(  0.0-100)","100.0
(  0.0-100)"
May 2019,"MIQR","100.0
( 80.3-100)","100.0
( 92.9-100)","100.0
(100.0-100)","100.0
( 50.0-100)","100.0
( 73.9-100)","100.0
( 77.0-100)"
May 2019,"Range","100.0
(  0.0-100)","100.0
( 25.9-100)","100.0
( 33.3-100)","100.0
(  0.0-100)","100.0
(  0.0-100)","100.0
(  0.0-100)"
Jun 2019,"MIQR","100.0
( 72.1-100)","100.0
( 63.2-100)"," 81.8
( 51.3-100)"," 60.7
( 42.2-100)","100.0
( 69.6-100)","100.0
( 76.9-100)"
Jun 2019,"Range","100.0
( 42.9-100)","100.0
(  0.0-100)"," 81.8
(  0.0-100)"," 60.7
(  0.0-100)","100.0
(  0.0-100)","100.0
(  0.0-100)"
Jul 2019,"MIQR","100.0
( 87.9-100)","100.0
( 85.5-100)","100.0
( 83.5-100)","100.0
( 95.7-100)"," 87.5
( 66.7-100)","100.0
( 70.8-100)"
Jul 2019,"Range","100.0
(  0.0-100)","100.0
(  0.0-100)","100.0
(  0.0-100)","100.0
( 50.0-100)"," 87.5
(  0.0-100)","100.0
(  0.0-100)"
Aug 2019,"MIQR"," 91.2
( 68.8-100)"," 97.4
( 79.6-100)"," 93.8
( 81.6-100)","100.0
( 81.5-100)"," 87.3
( 42.9-100)","100.0
( 50.0-100)"
